singers,title
Yul Lee,Chờ
Louis Tomlinson,Two Of Us
"KIGGEN,Gyepy,Jang Seok Hoon",Alcoholic
"TheFatRat,Laura Brehm,Anna Yvette",Chosen
"Trang,Khoa Vũ",Giữ Cho Em Một Thế Giới
John Newman,Feelings
"FYKE,Amber f(x)",Get Myself
"LK,Slime7",Don't Let Me Go (Viet Spiritz)
MayBayDay Band,Chuyện Nắng
"Jeremy Zucker,Bea Miller",Comethru
Shin Hyun Woo,Vai Phản Diện
"LSD,Sia,Diplo",No New Friends
"Dương Trần Nghĩa,Yanbi,Tùng Acoustic",She Wants Love
Mei,Chỉ Cần Anh Nói
"Marshmello,Chvrches",Here With Me
"Park Bom,Sandara Park",Spring
BlackBear,High1x
"Benny Blanco,Tainy,Selena Gomez",I Can't Get Enough
Carly Rae Jepsen,No Drug Like Me
Babylon,Shadow
Conrad Sewell,Love Me Anyway
"Dimitri Vegas & Like Mike,Frenna",Daar Gaat Ze (Nooit Verdiend)
"Martin Jensen,James Arthur",Nobody
Jonas Brothers,Sucker
"DVBBS,Saro",Somebody Like You
"Rita Ora,6LACK",Only Want You
"2 Chainz,Ariana Grande",Rule The World
Thái Đinh,Sao Ta Gặp Nhau (YMEETME)
TXT (Tomorrow x Together),Blue Orangeade
TXT (Tomorrow x Together),Crown
TXT (Tomorrow x Together),Our Summer
"Martin Garrix,Pierce Fulton,Mike Shinoda",Waiting For Tomorrow
Billie Eilish,Wish You Were Gay
"Martin Garrix,Justin Mylo,Dewain Whitmore",Burn Out
IZ*ONE,La Vie En Rose
EXO,Universe
Trương Thảo Nhi,Khi Em Là Cô Ấy
Camila Cabello,Never Be the Same
ATEEZ,Pirate King
"Post Malone,Swae Lee",Sunflower (Spider-man: Into The Spider-verse)
Jak Nguyễn,Sau Cơn Mưa Chẳng Thấy Cầu Vồng
Khang Việt,Thiên Duyên Tiền Định
"Babylon,Il Hoon (BTOB)",Remember
"Kygo,Valerie Broussard",Think About You
"T.R.I,Rickie T",Nhớ Đến Em
"Avril Lavigne,Nicki Minaj",Dumb Blonde
Ariana Grande,7 Rings
V (BTS),Scenery
Gin Tuấn Kiệt,Em Tên Là Gì
Chí Thiện,Bản Thân Sao Đáng Thương Đến Vậy
"Lee Sora,Suga (BTS)",Song Request
"R I T U A L,Tove Styrke",Love Me Back
"Pixel Neko,Dead&",Ain't It
"Julia Michaels,Selena Gomez",Anxiety
ATEEZ,"HALA HALA (Hearts Awakened, Live Alive)"
"Lauv,Troye Sivan",I'm So Tired...
"Little Mix,Ty Dolla $ign",Think About Us
ATEEZ,Say My Name
"Snakehips,Rivers Cuomo,Kyle",Gucci Rock N Rolla
Quinn XCII,Life Must Go On
Greyson Chance,Shut Up
"Yanbi,Weeza,Machiot",Xa Em Mấy Ngày
"The Chainsmokers,5 Seconds Of Summer",Who Do You Love
Ariana Grande,"Break Up With Your Girlfriend, I'M Bored"
"Henry,Thanh Sơn BTS",Đã Quên Nhau Rồi Remix
"Ariana Grande,2 Chainz",7 Rings (Remix)
Itzy,Dalla Dalla
Đan Trường,Bức Tranh Tình Nhân
"Alan Walker,K-391,Sofia Carson",Different World
"MØ,Foster the People",Blur
"Nguyễn Trọng Tài,San Ji",HongKong 1 (RnB Version)
EXID,I Love You
Mino (WINNER),Fiance
Chi Pu,Mời Anh Vào Team Em
"Mark Ronson,Miley Cyrus",Nothing Breaks Like a Heart
Quang Anh Rhyder,Anh Quen Với Cô Đơn (Feliks Alvin)
Red Velvet,RBB (Really Bad Boy)
Tiffany Young,Lips On Lips
"Yungblud,Halsey,Travis Barker",11 Minutes
"Zedd,Katy Perry",365
CNCO,Pretend
BlackBear,1 Sided Love
SG Lewis,Blue
John Legend,Preach
P!nk,Walk Me Home
"James Bay,Julia Michaels",Peer Pressure
"Martin Garrix,Bonn,Frank van Essen",No Sleep
"Steve Aoki,Alan Walker,ISAK",Are You Lonely
Linh Cáo,Giá Trị Của Em Nằm Đâu
Tiffany Young,Peppermint
Ellie Goulding,Do You Remember
Ưng Hoàng Phúc,Ta Vẫn Còn Yêu
"Zico (Block B),IU",SoulMate
"Hồ Quang Hiếu,RTee",Anh Say Quá
"Hoàng Tôn,Đạt G,Trịnh Đình Quang",Ý Chí Việt Nam
"Loco,Yu Seong Eun",Star (Little Prince) (Memories Of The Alhambra OST)
"Seeb,Bastille",Grip
Anie Như Thùy,Ngay Lúc Này Đây
J_ust,I Want to Be A Pillow
"Mcee Blue,Đan",24h
Võ Ê Vo,Anh Có Người Yêu Chưa
Phùng Khánh Linh,Thành Phố Xa Lạ
Zayn,There You Are
Charles Huỳnh,Lonely
"5 Seconds Of Summer,Julia Michaels",Lie To Me
"Tiên Tiên,Touliver",Em Không Thể
"Hà Nhi,EnviT",Anh Đã Quên (EDM Version)
"Steve Aoki,BTS (Bangtan Boys)",Waste It On Me
"LK,Slime7",Black Rose
Jun Phạm,Gật Đầu
Đặng Tuấn Phương,Ai Rồi Cũng Cô Đơn
"So Hi,EmD",Missing You
Vũ Duy Khánh,Cũng Bởi Vì Yêu
"Kay Trần,Tronie Ngô",Far Away
Phương Trinh Jolie,Nobody Like You
E.viewz,On Me
EXO,Love Shot
Uyên Linh,Nếu Có Một Ngày (Gái Già Lắm Chiêu 2 OST)
"Nicki Minaj,Anuel Aa,Bantu",Familia (Spider-man: Into The Spider-verse)
"Alan Walker,Sorana",Lost Control
"Alan Walker,K-391,Emelie Hollow",Lily
"Martin Garrix,Julian Jordan",Glitch
Ariana Grande,Imagine
Noo Phước Thịnh,Thương Em Là Điều Anh Không Thể Ngờ
Đan,Image Of You
Khắc Việt,Nụ Cười Mặn
Nguyễn Hoàng Dũng,Nép Vào Anh Và Nghe Anh Hát
ERIK,Đừng Có Mơ
Lý Thu Thảo,Khơi Tâm Tư
Vũ Cát Tường,The Party Song
GiGi Nguyen,Quay Lưng Là Hai Thế Giới
WINNER,Millions
Hồ Ngọc Hà,Giá Như Mình Đã Bao Dung
Vũ Cát Tường,Stardom
Trương Diễm,Cho Em Quên Tuổi Ngọc
Kim Thành,Cho Em Thêm Một Lần
Nguyễn Phi Hùng,Không Còn Mùa Thu
Phương Trinh Jolie,Anh Là Tâm Sự Của Em
Ariana Grande,"Thank U, Next"
"B Ray,Masew",Con Trai Cưng
Trương Diễm,Dạ Khúc Cho Tình Nhân
Phạm Anh Duy,Bụi Phấn
Gin Tuấn Kiệt,Không Thể Chạm Được Em
Hamlet Trương,Người Của Hôm Qua
Yong Anhh,Cuộc Sống Mà
Hamlet Trương,Anh Sai
TAT,Bỗng Chốc Ta Thành Người Dưng
Post Malone,Wow.
"Khổng Tú Quỳnh,Seth",Đến Đây Thôi...!
Jak Nguyễn,Shake Dat
Jimin (BTS),Promise
"prettyXIX,Kim Chi Sun,Sol7",Up In The Hills
Kim Chung Ha,Gotta Go
Mai,Chàng Trai Chào Đời Sau Em (#MCT2)
Chris Brown,Undecided
IZ*ONE,Sukito Iwasetai
Yang Da Il,I'm Here (Memories Of The Alhambra OST)
Sam Smith,Fire On Fire
Hồ Ngọc Hà,Hạnh Phúc Là Đây (Live Beyond)
"Masew,APJ",Xa
Backstreet Boys,No Place
"Nam Du,DJ Turbo",Anh Không Thể Tha Thứ Mình Remix
BTS (Bangtan Boys),Don't Leave Me
"Calvin Harris,Dua Lipa",One Kiss
BlackPink,DDu-Du DDu-Du
"LSD,Sia,Diplo",Thunderclouds
BTS (Bangtan Boys),Fake Love
Travis Scott,SICKO MODE
"Calvin Harris,Sam Smith",Promises
Oh!GG (SNSD),Lil' Touch
Jeremy Zucker,Comethru
"Silk City,Dua Lipa,Diplo",Electricity
Nguyễn Đình Thanh Tâm,Anh Sẽ Trở Về
BTS (Bangtan Boys),Airplane Pt.2 (Japanese Version)
Imagine Dragons,Bad Liar
Backstreet Boys,Chances
"Dean,Sulli Choi,Rad Museum",Dayfly
Bùi Công Nam,"Hột É (Tay Buôn, Buông Tay OST)"
Hà Nhi,Dĩ Vãng Nhạt Nhòa
"Illenium,Call Me Karizma",God Damnit
Jennie (BlackPink),Solo
"Jay Phan,Grace (Thiên Cúc)",Tự Tình
"Zayn,Nicki Minaj",No Candle No Light
Jennifer Lopez,Limitless
"Bùi Anh Tuấn,Yanbi",Giấc Mơ
WANNA ONE,Spring Breeze
Đông Nhi,Giả Vờ Say
"Hoàng Hải Dương,Dess,Trung Ngon",Buồn Làm Gì Em Ei
"Đen,Vũ,Thành Đồng",Anh Đếch Cần Gì Nhiều Ngoài Em
Vicky Nhung,Mơ Về Em
T.R.I,Mình Quay Lại Đi
"Imagine Dragons,Lil Wayne",Believer
"Juun Đăng Dũng,RTee",Đêm Màu Xanh
Rozes,Halfway There
Phan Mạnh Quỳnh,Huyền Thoại
Westlife,Hello My Love
Yong Anhh,Em Là Mây
"Fedez,Zara Larsson",Holding out for You
"Sam Smith,Normani",Dancing With A Stranger
Rhy,Khi Nào Em Mới Yêu Anh
MONSTAR,BADADU
Hozier,Almost (Sweet Music)
Đặng Trí,Khi Em Sẵn Sàng
Sigrid,Don’t Feel Like Crying
Dean Lewis,7 Minutes
"Jonas Blue,Liam Payne,Lennon Stella",Polaroid
"DJ Snake,Selena Gomez,Ozuna",Taki Taki
Halsey,Without Me
Hồ Ngọc Hà,Em Muốn Anh Đưa Em Về (Electronic Pop Dance Version)
"Ưng Hoàng Phúc,Phạm Quỳnh Anh",Điều Gì Đến Sẽ Đến
Gemini Band,Đừng Bao Giờ Níu Kéo
"Kygo,Sandro Cavazza",Happy Now
"Little Mix,Nicki Minaj",Woman Like Me
Hari Won,Là Cả Bầu Trời
Bảo Anh,Như Lời Đồn
BTS (Bangtan Boys),Fake Love (Japanese Version)
"Hiền Hồ,JayKii",Sao Em Nỡ
"Midnight Kids,Matthew Koma",Serious
Bùi Lan Hương,Ngày Chưa Giông Bão (Người Bất Tử OST)
Noo Phước Thịnh,Những Kẻ Mộng Mơ
Zara Larsson,Ruin My Life
Văn Mai Hương,Cầu Hôn
Khalid,My Bad
black.,Quay Đi
Đặng Trí,Em Ơi Sau Này
Daya,Insomnia
"Dagny,Steve Aoki",Hit Your Heart
"SG Lewis,Clairo",Throwaway
"Jonas Blue,IZ*ONE",Rise
Emeli Sande,Sparrow
